type,Model,Target,Accuracy,1.0_Precision,1.0_Recall,1.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score,2.0_Precision,2.0_Recall,2.0_F1-Score
train_metrics,1_vs_4,AST,0.8278270937861829,0.8257401441938947,0.83103049015824,0.8283768706959567,0.8299409571162213,0.8246236974141258,0.8272737832500872,0.827840550655058,0.8278270937861829,0.8278253269730219,0.827840550655058,0.8278270937861829,0.8278253269730219,,,
test_metrics,1_vs_4,AST,0.8443908323281062,0.10431654676258993,0.7631578947368421,0.18354430379746836,0.9934782608695653,0.8462962962962963,0.914,0.5488974038160775,0.8047270955165693,0.5487721518987342,0.9730994037308047,0.8443908323281062,0.8972585546105573,,,
train_metrics,1_vs_4,AST,0.8266692396758009,0.8218740492850624,0.834118101119259,0.8279508102516953,0.831609465601003,0.8192203782323427,0.8253684333320372,0.8267417574430327,0.8266692396758009,0.8266596217918663,0.8267417574430327,0.8266692396758009,0.8266596217918663,,,
test_metrics,1_vs_4,AST,0.8443908323281062,0.10288808664259928,0.75,0.18095238095238095,0.9931209268645909,0.846604938271605,0.9140286571142953,0.548004506753595,0.7983024691358025,0.5474905190333381,0.9727175203938818,0.8443908323281062,0.8972271501817544,,,
train_metrics,1_vs_4,AST,0.8265534542647627,0.8243502261749598,0.8299498263218834,0.8271405492730209,0.8287868189943266,0.8231570822076418,0.8259623576794982,0.8265685225846432,0.8265534542647626,0.8265514534762596,0.8265685225846433,0.8265534542647627,0.8265514534762596,,,
test_metrics,1_vs_4,AST,0.8498190591073582,0.10780669144981413,0.7631578947368421,0.18892508143322476,0.9935205183585313,0.8518518518518519,0.9172482552342971,0.5506636049041727,0.8075048732943471,0.553086668333761,0.9732206839661722,0.8498190591073582,0.9005556855090613,,,
train_metrics,1_vs_4,AST,0.8276341181011193,0.8253737064009199,0.8311076804322656,0.8282307692307693,0.8299261562378546,0.8241605557699729,0.8270333075135553,0.8276499313193872,0.8276341181011193,0.8276320383721623,0.8276499313193872,0.8276341181011193,0.8276320383721623,,,
test_metrics,1_vs_4,AST,0.8489143546441495,0.10720887245841035,0.7631578947368421,0.18800648298217176,0.9935135135135135,0.850925925925926,0.9167082294264339,0.5503611929859619,0.8070419103313841,0.5523573562043028,0.9732001381455436,0.8489143546441495,0.9000069831267464,,,
train_metrics,1_vs_4,AST,0.8270937861829409,0.8245882803523554,0.8309532998842146,0.8277585544021531,0.8296382730455076,0.8232342724816674,0.8264238667183263,0.8271132766989315,0.827093786182941,0.8270912105602397,0.8271132766989315,0.8270937861829409,0.8270912105602397,,,
test_metrics,1_vs_4,AST,0.844692400482509,0.1045045045045045,0.7631578947368421,0.1838351822503962,0.9934806229626947,0.846604938271605,0.9141809698383603,0.5489925637335996,0.8048814165042235,0.5490080760443783,0.9731060195239666,0.844692400482509,0.8974420434642092,,,
train_metrics,1_vs_4,AST,0.8290621381705905,0.8268670449317589,0.8324199150906986,0.8296341885602185,0.8312869132732359,0.8257043612504824,0.8284862332029586,0.8290769791024974,0.8290621381705905,0.8290602108815885,0.8290769791024973,0.8290621381705905,0.8290602108815885,,,
test_metrics,1_vs_4,AST,0.8452955367913149,0.10488245931283906,0.7631578947368421,0.18441971383147857,0.993485342019544,0.8472222222222222,0.9145427286356821,0.5491839006661915,0.8051900584795322,0.5494812212335803,0.9731192928380876,0.8452955367913149,0.897808908031002,,,
train_metrics,1_vs_4,AST,0.8292165187186414,0.82636975818794,0.8335777692010806,0.8299581139760981,0.832113377978508,0.8248552682362023,0.8284684265612281,0.829241568083224,0.8292165187186414,0.8292132702686631,0.8292415680832241,0.8292165187186414,0.8292132702686632,,,
test_metrics,1_vs_4,AST,0.8480096501809409,0.10661764705882353,0.7631578947368421,0.18709677419354837,0.9935064935064936,0.85,0.9161676646706587,0.5500620702826585,0.8065789473684211,0.5516322194321035,0.9731797286301297,0.8480096501809409,0.8994579578925344,,,
train_metrics,1_vs_4,AST,0.827518332690081,0.8251340996168582,0.831184870706291,0.828148432993655,0.8299377916018662,0.823851794673871,0.8268835948092194,0.8275359456093623,0.827518332690081,0.8275160139014373,0.8275359456093623,0.827518332690081,0.8275160139014373,,,
test_metrics,1_vs_4,AST,0.8492159227985525,0.10740740740740741,0.7631578947368421,0.18831168831168832,0.9935158501440923,0.8512345679012345,0.9168882978723404,0.5504616287757499,0.8071962313190384,0.5525999930920144,0.9732069714806458,0.8492159227985525,0.9001899196073796,,,
train_metrics,1_vs_4,AST,0.8277884986491703,0.82562686910513,0.8311076804322656,0.8283582089552239,0.8299790193488228,0.8244693168660748,0.827214993804213,0.8278029442269763,0.8277884986491701,0.8277866013797185,0.8278029442269764,0.8277884986491703,0.8277866013797185,,,
test_metrics,1_vs_4,AST,0.8498190591073582,0.10780669144981413,0.7631578947368421,0.18892508143322476,0.9935205183585313,0.8518518518518519,0.9172482552342971,0.5506636049041727,0.8075048732943471,0.553086668333761,0.9732206839661722,0.8498190591073582,0.9005556855090613,,,
train_metrics,1_vs_4,AST,0.8277499035121575,0.8256134969325153,0.83103049015824,0.828313137141758,0.82991452991453,0.8244693168660748,0.8271829622458857,0.8277640134235227,0.8277499035121574,0.8277480496938219,0.8277640134235226,0.8277499035121575,0.8277480496938219,,,
test_metrics,1_vs_4,AST,0.8465018094089264,0.10564663023679417,0.7631578947368421,0.1856,0.9934947596675099,0.8484567901234568,0.9152655235558514,0.549570694952152,0.8058073424301495,0.5504327617779257,0.973146008812041,0.8465018094089264,0.8985421882753192,,,
train_metrics,1_vs_4,AST,0.8285218062524122,0.8260802942077843,0.8322655345426476,0.8291613796285614,0.8310001555451859,0.8247780779621767,0.8278774261031264,0.828540224876485,0.8285218062524122,0.8285194028658439,0.8285402248764852,0.8285218062524122,0.8285194028658439,,,
test_metrics,1_vs_4,AST,0.850422195416164,0.10820895522388059,0.7631578947368421,0.1895424836601307,0.9935251798561151,0.8524691358024692,0.9176079734219269,0.5508670675399978,0.8078135152696557,0.5535752285410288,0.9732344581817938,0.850422195416164,0.900921309603502,,,
